state,classification,tier,primary_law,law_details,effective_date,doj_designated_sanctuary,source_url,source_name,ilrc_rating,ilrc_source
California,sanctuary,comprehensive,SB 54 - California Values Act (2017),Prohibits state/local resources from enforcing federal immigration law; bars cooperation with ICE holds; restricts responses to detainer requests,2018-01-01,True,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180SB54,California Legislative Information,fairly_broad_sanctuary,https://www.ilrc.org/state-map-immigration-enforcement-2024
Oregon,sanctuary,comprehensive,ORS § 181a.820 (1987) + Oregon Sanctuary Promise Act (2021),First sanctuary state (1987); prohibits use of public resources to arrest/detain based on immigration status; bans ICE detention centers; prohibits info sharing with federal immigration authorities,1987-07-01,True,https://www.oregonlegislature.gov/bills_laws/ors/ors181a.html,Oregon Revised Statutes,most_protective,https://www.ilrc.org/state-map-immigration-enforcement-2024
Illinois,sanctuary,comprehensive,SB 31 - Illinois TRUST Act (2017) + Way Forward Act (2021),"Prohibits holding individuals on ICE detainers; bans immigration detention centers; prohibits local cooperation with ICE; limits enforcement at schools, hospitals, courthouses",2017-08-28,True,https://www.ilga.gov/legislation/publicacts/100/PDF/100-0463.pdf,Illinois General Assembly,most_protective,https://www.ilrc.org/state-map-immigration-enforcement-2024
Washington,sanctuary,fairly_broad,SB 5497 - Keep Washington Working Act (2019),Bars local jails from holding individuals based solely on ICE detainers; restricts information sharing,2019-05-21,True,https://lawfilesext.leg.wa.gov/biennium/2019-20/Pdf/Bills/Session%20Laws/Senate/5497-S2.SL.pdf,Washington State Legislature,fairly_broad_sanctuary,https://www.ilrc.org/state-map-immigration-enforcement-2024
New Jersey,sanctuary,fairly_broad,Immigrant Trust Directive (AG Directive 2018-6),Limits local law enforcement cooperation with ICE; restricts honoring detainers without judicial warrant,2018-11-29,False,https://www.nj.gov/oag/dcj/agguide/directives/ag-directive-2018-6_v2.pdf,NJ Office of Attorney General,fairly_broad_sanctuary,https://www.ilrc.org/state-map-immigration-enforcement-2024
Colorado,sanctuary,some_protections,HB 19-1124 (2019),Prohibits detainer compliance absent judicial warrant; bans cooperative agreements with federal immigration authorities,2019-05-28,True,https://leg.colorado.gov/bills/hb19-1124,Colorado General Assembly,some_protections,https://www.ilrc.org/state-map-immigration-enforcement-2024
Connecticut,sanctuary,some_protections,TRUST Act (Public Act 13-155) (2013),Limits compliance with ICE detainers; requires judicial warrant for immigration holds,2013-10-01,True,https://www.cga.ct.gov/2013/ACT/pa/pdf/2013PA-00155-R00SB-00992-PA.pdf,Connecticut General Assembly,some_protections,https://www.ilrc.org/state-map-immigration-enforcement-2024
New York,sanctuary,limited_steps,Executive Order (2017) + Various local policies,Prohibits inquiring about immigration status; limits ICE access to city facilities,2017-01-01,True,https://www.governor.ny.gov/executiveorders,NY Governor's Office,limited_steps,https://www.ilrc.org/state-map-immigration-enforcement-2024
Vermont,sanctuary,some_protections,Act 69 (2017) - Fair and Impartial Policing Policy,Limits state/local law enforcement cooperation with federal immigration authorities,2017-06-09,True,https://legislature.vermont.gov/bill/status/2018/S.79,Vermont General Assembly,some_protections,https://www.ilrc.org/state-map-immigration-enforcement-2024
Maryland,sanctuary,some_protections,Dignity Not Detention Act (2021),Prohibits local jurisdictions from entering immigration detention agreements with private entities,2021-12-01,False,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/sb0565?ys=2021RS,Maryland General Assembly,some_protections,https://www.ilrc.org/state-map-immigration-enforcement-2024
Rhode Island,sanctuary,limited_steps,Executive Order 15-09 (2015),Limits compliance with ICE detainers for non-violent offenses,2015-10-22,True,https://governor.ri.gov/executive-orders,RI Governor's Office,limited_steps,https://www.ilrc.org/state-map-immigration-enforcement-2024
Minnesota,sanctuary,limited_steps,No statewide law; Governor policy + local policies,Governor Walz administration policy limiting state cooperation; various local sanctuary policies,2019-01-01,True,https://www.justice.gov/ag/us-sanctuary-jurisdiction-list,DOJ Sanctuary List,limited_steps,https://www.ilrc.org/state-map-immigration-enforcement-2024
Delaware,sanctuary,limited_steps,Executive order/administrative policy,State policy limiting ICE cooperation,2019-01-01,True,https://www.justice.gov/ag/us-sanctuary-jurisdiction-list,DOJ Sanctuary List,limited_steps,https://www.ilrc.org/state-map-immigration-enforcement-2024
Texas,aggressive_anti_sanctuary,most_restrictive,SB 4 (2017),Bans sanctuary policies statewide; grants officers authority to ask immigration status during routine encounters; imposes fines on non-compliant jurisdictions; allows removal from office for officials implementing sanctuary policies,2017-09-01,False,https://capitol.texas.gov/tlodocs/85R/billtext/pdf/SB00004F.pdf,Texas Legislature,aggressive_anti_sanctuary,https://www.ilrc.org/state-map-immigration-enforcement-2024
Florida,aggressive_anti_sanctuary,most_restrictive,SB 168 (2019),Requires local law enforcement to comply with ICE detainers; bans sanctuary policies; requires 287(g) participation,2019-06-14,False,https://www.flsenate.gov/Session/Bill/2019/168,Florida Senate,aggressive_anti_sanctuary,https://www.ilrc.org/state-map-immigration-enforcement-2024
